subj,trial,S,R,RT,correct,instruction
as1t,1,2,2,0.4319,TRUE,accuracy
as1t,2,2,2,0.5015,TRUE,speed
as1t,3,1,1,0.3104,TRUE,speed
as1t,4,2,2,0.4809,TRUE,accuracy
as1t,5,1,1,0.3415,TRUE,accuracy
as1t,6,1,1,0.3465,TRUE,neutral
as1t,7,1,1,0.3572,TRUE,neutral
as1t,8,2,2,0.4042,TRUE,neutral
as1t,9,1,1,0.3866,TRUE,neutral
as1t,10,2,2,0.3683,TRUE,accuracy
as1t,11,2,2,0.371,TRUE,accuracy
as1t,12,1,1,0.3545,TRUE,neutral
as1t,13,1,2,0.3111,FALSE,accuracy
as1t,14,1,1,0.4169,TRUE,accuracy
as1t,15,2,2,0.5127,TRUE,neutral
as1t,16,2,1,0.4118,FALSE,speed
as1t,17,2,2,0.4826,TRUE,accuracy
as1t,18,2,1,0.4343,FALSE,speed
as1t,19,2,2,0.3803,TRUE,accuracy
as1t,20,1,1,0.5187,TRUE,speed
as1t,21,2,2,0.4716,TRUE,accuracy
as1t,22,1,1,0.5938,TRUE,neutral
as1t,23,1,1,0.3796,TRUE,neutral
as1t,24,1,1,0.4949,TRUE,speed
as1t,25,2,2,0.4693,TRUE,accuracy
as1t,26,2,1,0.3286,FALSE,neutral
as1t,27,1,2,0.4872,FALSE,accuracy
as1t,28,1,1,0.3089,TRUE,neutral
as1t,29,2,2,0.5114,TRUE,speed
as1t,30,1,1,0.2873,TRUE,speed
as1t,31,1,1,0.4389,TRUE,speed
as1t,32,2,2,0.4144,TRUE,neutral
as1t,33,1,1,0.3114,TRUE,neutral
as1t,34,1,1,0.4272,TRUE,neutral
as1t,35,1,1,0.4181,TRUE,accuracy
as1t,36,2,2,0.3373,TRUE,speed
as1t,37,2,1,0.321,FALSE,accuracy
as1t,38,2,2,0.458,TRUE,speed
as1t,39,1,1,0.5226,TRUE,speed
as1t,40,2,2,0.4205,TRUE,speed
as1t,41,2,1,0.4179,FALSE,speed
as1t,42,1,1,0.4914,TRUE,neutral
as1t,43,2,2,0.4112,TRUE,accuracy
as1t,44,2,2,0.3927,TRUE,accuracy
as1t,45,2,2,0.5793,TRUE,neutral
as1t,46,1,1,0.4194,TRUE,neutral
as1t,47,1,1,0.4449,TRUE,speed
as1t,48,2,2,0.4873,TRUE,accuracy
as1t,49,2,2,0.4025,TRUE,neutral
as1t,50,2,2,0.4911,TRUE,speed
as1t,51,1,1,0.3138,TRUE,speed
as1t,52,2,2,0.7872,TRUE,neutral
as1t,53,2,2,0.4621,TRUE,neutral
as1t,54,1,1,0.4605,TRUE,neutral
as1t,55,2,2,0.5369,TRUE,accuracy
as1t,56,2,2,0.4935,TRUE,neutral
as1t,57,1,1,0.325,TRUE,neutral
as1t,58,2,2,0.5663,TRUE,speed
as1t,59,2,1,0.6087,FALSE,accuracy
as1t,60,2,2,0.4528,TRUE,speed
as1t,61,2,1,0.3561,FALSE,speed
as1t,62,2,1,0.5971,FALSE,accuracy
as1t,63,1,1,0.5204,TRUE,neutral
as1t,64,1,1,0.4084,TRUE,neutral
as1t,65,1,1,0.4569,TRUE,accuracy
as1t,66,1,1,0.483,TRUE,accuracy
as1t,67,1,1,0.5611,TRUE,speed
as1t,68,2,1,0.4731,FALSE,neutral
as1t,69,1,1,0.4539,TRUE,accuracy
as1t,70,1,1,0.4068,TRUE,neutral
as1t,71,2,2,0.4937,TRUE,neutral
as1t,72,1,1,0.4483,TRUE,speed
